Graphium grovei	Phaeoisaria clavulata (Grove) E.W. Mason & S. Hughes, Mycol. Pap. 56: 42 (1953) [MB#282810]	192506	Sacc.	1886	Legitimate
Graphium guttuliferum	Graphium guttuliferum Pidopl., Mykrobiol. Zh. Kiev 9 (2-3): 57 (1948) [MB#440932]	440932	Pidopl.	1948	Legitimate
Graphium hamamelidis	Graphium hamamelidis J.M. Hook, Proc. Indiana Acad. Sci.: 231 (1926) [MB#266788]	266788	J.M. Hook	1926	Legitimate
Graphium hendersonulae	Graphium hendersonulae Chevaug., Encycl. Mycol. 28: 87 (1956) [MB#297965]	297965	Chevaug.	1956	Legitimate
Graphium hippotrichoides	Nematographium hippotrichoides (Lind) Goid., Ann. Bot. (Rome) 21 (1): 46 (1935) [MB#230599]	192736	(Lindau) Sacc.	1913	Legitimate
Graphium indicum	Gracilistilbella clavulata (Mont.) Seifert, Stud. Mycol. 45: 18 (2000) [MB#464784]	111500	Chouhan & Panwar	1981	Legitimate
Graphium irradians	Graphium irradians Petr., Sydowia 4 (1-6): 577 (1950) [MB#297966]	297966	Petr.	1950	Legitimate
Graphium jumulu	Graphium jumulu P.A. Barber & Crous, Persoonia 34: 191 (2015) [MB#812434]	812434	P.A. Barber & Crous	2015	Legitimate
Graphium klebahni	Graphium klebahnii Oudem., Arch. Néerl. Sci. Exact. Nat. 7: 295 (1902) [MB#534777]	192374	Oudem.	1902	Orthographic variant
Graphium klebahnii	Graphium klebahnii Oudem., Arch. Néerl. Sci. Exact. Nat. 7: 295 (1902) [MB#534777]	534777	Oudem.	1902	Legitimate
Graphium kubanicum	Graphium kubanicum Shcherb.-Parf., Rakovye i sosudistye bolezni listvennykh porod: 51 (1953) [MB#129280]	129280	Shcherb.-Parf.	1953	Invalid
Graphium kuroshio	Graphium kuroshio F. Na, J.D. Carrillo & Eskalen, Pl. Dis. 102 (6): 1160 (2018) [MB#858609]	858609	F. Na, J.D. Carrillo & Eskalen	2018	Legitimate
Graphium kuroshium	Graphium kuroshio F. Na, J.D. Carrillo & Eskalen, Pl. Dis. 102 (6): 1160 (2018) [MB#858609]	821908	F. Na, J.D. Carrillo & Eskalen	2018	Orthographic variant
Graphium laricis	Graphium laricis K. Jacobs, Kirisits & M.J. Wingf., Mycologia 95 (4): 721 (2003) [MB#489203]	489203	K. Jacobs, Kirisits & M.J. Wingf.	2003	Legitimate
Graphium laxum	Pseudocercospora griseola (Sacc.) Crous & U. Braun, Stud. Mycol. 55: 168 (2006) [MB#500855]	192615	Ellis	1881	Legitimate
Graphium leguminum	Graphium leguminum Cooke (?) [MB#180085]	180085	Cooke		Legitimate
Graphium lesnei	Parascedosporium putredinis (Corda) Lackner & de Hoog, IMA Fungus 2 (1): 44 (2011) [MB#519652]	253001	(Vuill.) Castell. & Chalm.	1919	Legitimate
Graphium lesnei	Parascedosporium putredinis (Corda) Lackner & de Hoog, IMA Fungus 2 (1): 44 (2011) [MB#519652]	119190	(Vuill.) E.W. Mason	1937	Legitimate
Graphium leucocephalum	Cephalotrichum purpureofuscum (Schwein.) S. Hughes, Canad. J. Bot. 36 (6): 744 (1958) [MB#294131]	180210	(Wallr.) Sacc.	1886	Legitimate
Graphium leucophaeum	Nematographium leucophlaeum (Sacc.) Goid., Ann. Bot. (Rome) 21 (1): 46 (1935) [MB#231538]	188507	Penz. & Sacc.	1902	Legitimate
Graphium ligulariae	Phacellium ligulariae (Săvul. & Sandu) U. Braun, Nova Hedwigia 56 (3-4): 437 (1993) [MB#357791]	269433	Săvul. & Sandu	1935	Legitimate
Graphium linderae	Bitunicostilbe linderae (Ellis & Everh.) M. Morelet, Bull. Soc. Sci. Nat. Archéol. Toulon & Var 195: 7 (1971) [MB#309583]	188823	Ellis & Everh.	1885	Legitimate
Graphium longistipitatum	Graphium longistipitatum Jankow. & Gumulak, Mycologia 115 (3): 368 (2023) [MB#844906]	844906	Jankow. & Gumulak	2023	Legitimate
Graphium macrocarpum	Sterigmatobotrys macrocarpus (Corda) S. Hughes, Canad. J. Bot. 36 (6): 814 (1958) [MB#626987]	188866	Corda	1839	Legitimate
Graphium macrocarpum	Sterigmatobotrys macrocarpus (Corda) S. Hughes, Canad. J. Bot. 36 (6): 814 (1958) [MB#626987]	188746	Sacc.	1873	Illegitimate
Graphium madagascariense	Graphium madagascariense Cruywagen & Z.W. de Beer, Persoonia 25: 69 (2010) [MB#518676]	518676	Cruywagen & Z.W. de Beer	2010	Legitimate
Graphium magnum	Graphium giganteum Speg., Anales Soc. Ci. Argent. 22 (4): 219 (1886) [MB#186824]	207545	Sacc. & P. Syd.	1899	Legitimate
Graphium malorum	Gliomastix murorum (Corda) S. Hughes, Canad. J. Bot. 36 (6): 769 (1958) [MB#297829]	270434	Kidd & Beaumont	1924	Legitimate
Graphium melanotes	Stilbella melanotes Syd., Hedwigia 49: 84 (1910) [MB#176633]	207510	(Syd.) Sacc.	1913	Legitimate
Graphium minutellum	Graphium minutellum Pidopl., Mykrobiol. Zh. Kiev 9 (2-3): 58 (1948) [MB#440933]	440933	Pidopl.	1948	Legitimate
Graphium nanum	Cephalotrichum nanum (Ehrenb.) S. Hughes, Canad. J. Bot. 36 (6): 744 (1958) [MB#294129]	214729	(Ehrh.) Sacc.	1886	Legitimate
Graphium nigrum	Phaeostilbella nigra (Sacc.) Seifert, CBS Biodiversity Series 12: 307 (2013) [MB#801092]	214797	Sacc.	1886	Legitimate
Graphium nodulosum	Graphium nodulosum Marchal & É.J. Marchal (1894) [MB#214620]	214620	Marchal & É.J. Marchal	1894	Legitimate
Graphium obsoletum	Stilbum graphiodeum Berk. & Broome, J. Linn. Soc., Bot. 14 (73 & 74): 97 (1875) [MB#166250]	202671	Sacc.	1886	Illegitimate
Graphium pallescens	Ramularia episphaeria (Desm.) Gunnerb., Svensk Bot. Tidskr. 61: 129 (1967) [MB#338210]	202975	(Fuckel) Magnus	1905	Legitimate
Graphium paradoxum	Graphium paradoxum Sacc. & Trotter, Bull. Soc. Roy. Bot. Belgique 38: 166 (1899) [MB#202708]	202708	Sacc. & Trotter	1899	Legitimate
Graphium paspali	Graphium paspali Cif. & Vegni, Rivista di Patologia Vegetale, Pavia: 209 (1963) [MB#331514]	331514	Cif. & Vegni	1963	Legitimate
Graphium passerinii	Graphium subulatum Pass. & Beltrani, Atti della Reale Accademia dei Lincei. Transunti Ser. 3, 7 (1): 39 (1882) [MB#212335]	212438	Sacc.	1886	Illegitimate
Graphium pelitnopsis	Stilbum pelitnopus Corda, Icones fungorum hucusque cognitorum 3: 13, t. 2:42 (1839) [MB#243748]	507563	(Corda) Sacc.	1886	Orthographic variant
Graphium pelitnopus	Stilbum pelitnopus Corda, Icones fungorum hucusque cognitorum 3: 13, t. 2:42 (1839) [MB#243748]	212570	(Corda) Sacc.	1886	Legitimate
Graphium penicillioides	Graphium penicillioides Corda, Icones fungorum hucusque cognitorum 1: 18, tab. 5, fig. 251 (1837) [MB#212211]	212211	Corda	1837	Legitimate
